,review,verified,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Wifi & Connectivity,year,Month,airline
0,trip verified    its a very bad airline they lie during checkin reject the additional luggage to get you in trap during the boarding to charge maximum additional money for all your belongings including laptop water bottle duty free purchases giving your their own charging amount without any rules or pricelist very small sitting space old chairs  its the worst airline i ever met,True,Couple Leisure,Economy Class,1,1,1,no,1,1,1,2025,May,air_arabia
1,not verified   the worst company ever terrible service and terrible staff i had four experiences with them in  and not a single one was on time the last flight was delayed for  hours without any explanation or any form of comfort provided their phone service is completely useless i will never fly with them again and i almost forgot to mention the baggage scam at the airport,False,Family Leisure,Economy Class,1,1,1,no,1,1,1,2025,May,air_arabia
2,not verified   except from the fact that the leg room is really tight a week later i received three different charges at my credit card but did not bought nothing more than a bottle of water which was a different third charge be careful and do not give them your card by any circumstances,False,Couple Leisure,Economy Class,1,1,1,no,1,1,1,2025,April,air_arabia
3,trip verified    luggage was damaged from entebbe to sharjah damaging the luggage handle and wheels airline staff was very unprofessional and clueless of procedures no regards for customer support and rude behaviour efforts to approach airline met with equal apathy as the staff also wont help you in case luggage is damaged cheap airlines are that way only its better to pay some more amount and travel with a good airlines,True,Family Leisure,Economy Class,1,1,1,no,1,1,1,2025,April,air_arabia
4,not verified   this was the biggest rip off in my experience they offered relatively lower price vs other airlines but was still more than double what i pay if i book well in advance the return flight was super delayed and i had to book last minute flight on qatar airways which increased my cost massively i was informed i will get the full refund for the delayed flight as well as the connecting flight but i got not even half of the booking price back not sure if its transferred yet i raised it to them the high cost i had to bare because of them but they totally refused to compensate pathetic service,False,Solo Leisure,Economy Class,1,2,1,no,3,1,1,2025,April,air_arabia
5,not verified  disappointed with air arabia  poor service i flew with air arabia from sharjah to vienna and had preordered and paid for an inflight meal the meal was never delivered during the flight even though i had a confirmed order when i followed up with a complaint the airline claimed that all meals had been delivered  which is simply not true communication was disappointing i dont speak english well so i couldnt raise the issue during the flight still i expected at least an apology or a refund unfortunately i received neither this was my first and last flight with air arabia their service and customer care are below expectations i will definitely consider other airlines in the future,False,Couple Leisure,Economy Class,1,1,1,no,1,1,2,2025,March,air_arabia
6,trip verified    terrible service still waiting for delay compensation  months later my flight was delayed by  hours no staff at gatwick airport to provide information or refreshments terrible service over the phone upon returning take weeksmonths for a response and still waiting,True,Solo Leisure,Economy Class,1,1,1,no,3,2,1,2024,August,air_arabia
7,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,False,Solo Leisure,Economy Class,2,1,1,no,2,3,2,2025,January,air_arabia
8,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,True,Couple Leisure,Economy Class,1,1,1,no,1,1,1,2025,January,air_arabia
9,trip verified    the worst airline you could ever use in case you happen to have special circumstances where you cannot travel is simply taking all your money or forcing you to travel to their limited destinations i booked ultimatum fair with free cancellation and refund but it seems they decided to deduct a hefty  of the ticket amount,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2025,January,air_arabia
10,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,False,Solo Leisure,Economy Class,1,5,3,yes,3,3,1,2024,December,air_arabia
11,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,True,Solo Leisure,Economy Class,1,1,1,no,2,1,1,2024,November,air_arabia
