,text_content,resume,verified,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,Aircraft
0,"✅ Trip Verified |   Terrible service, still waiting for delay compensation 7 months later. My flight was delayed by 5 hours. No staff at Gatwick airport to provide information or refreshments. Terrible service over the phone upon returning. Take weeks/months for a response and still waiting.","""still waiting for delay compensation""",True,Solo Leisure,Economy Class,Gatwick to Tangier,August 2024,1 stars,3 stars,2 stars,1 stars,1 stars,no,,,
1,"Not Verified | I recently had a very disappointing experience with Air Arabia regarding their ticket cancellation and refund policy. I booked a flight for my brother and paid an extra 200 just to make the ticket cancellable. Later, due to unavoidable reasons, I had to cancel the ticket. Instead of refunding the amount back to my original payment method, Air Arabia held the amount in credit points which is an unfair policy considering I had paid extra for a cancellable ticket. When I tried to use these credits for my own flight booking, I was shocked to find out that I couldn’t use them because the credit was under my brother’s name, despite the fact that both bookings were made from my own account. This makes no sense—if Air Arabia is going to hold my money hostage in credit points, then at the very least, they should allow it to be redeemed within the same account, regardless of the passenger’s name. This is a highly restrictive and unfair policy. If an airline is unwilling to return the money directly to the customer, they should at least provide the flexibility to use it for future bookings, regardless of passenger name, as long as it is within the same account. This experience has left me with a very negative impression of Air Arabia’s policies. Instead of offering customer-friendly solutions, they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers. I would strongly advise anyone considering Air Arabia to read their fine print carefully before paying extra for a ‘cancellable’ ticket—because in reality, your money might not be as flexible as you think! I certainly won’t be choosing them again unless they make their policies more transparent and customer-friendly. Very disappointed with their refund & credit policies!",“highly restrictive and unfair policy”,False,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,January 2025,2 stars,2 stars,3 stars,1 stars,1 stars,no,1 stars,2 stars,
2,"✅ Trip Verified | Terrible experience with this airline. The airplane was badly maintained, the legroom was nonexistent, and we had the worst experience with customer service and staff at the airport. Even if you can find free tickets, you are better off avoiding this ""airline.""","""Better off avoiding this airline""",True,Couple Leisure,Economy Class,Athens to Bangkok,January 2025,1 stars,1 stars,1 stars,1 stars,1 stars,no,1 stars,1 stars,A321
3,"✅ Trip Verified |   The Worst Airline you could ever use. In case you happen to have special circumstances where you cannot travel, is simply taking all your money or forcing you to travel to their limited destinations. I booked ULTIMATUM fair, with free cancellation and refund, but it seems they decided to deduct a hefty 50% of the ticket amount.","""deduct a hefty 50% of the ticket""",True,Solo Leisure,Economy Class,Sharjah to Kuala Lumpur,January 2025,,,,,1 stars,no,,,
4,"Not Verified | Before two years I used to fly with them and it was a pleasant one. Now its far behind that quality I enjoy. Now there is no comfortable space between the two seats. Very difficult to sit if the front seater reclines his seat to mine. Also there is no entertainment option QR code is not visible. Every airlines targets only for maximum profit, not the comfort of the pax. All other things are okay.",“far behind that quality I enjoy”,False,Solo Leisure,Economy Class,Kochi to Abu Dhabi,December 2024,1 stars,3 stars,3 stars,5 stars,3 stars,yes,1 stars,1 stars,A320
5,"✅ Trip Verified |   Really bad experience. I dont recommend at all. They made me pay extra on my hand baggage they even weight the laptop, my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area. I said to the employee this is the same baggage I came with he just answered no body is following the roles all baggage must be 10K I said even my wallet he answered yes everything.","2Really bad experience""",True,Solo Leisure,Economy Class,Sharjah to Amman,November 2024,1 stars,2 stars,1 stars,1 stars,1 stars,no,,1 stars,A320
6,"Not Verified |  I had a terrible experience with Air Arabia. My husband was recovering from surgery, and we planned a holiday, which turned into a nightmare due to their services. Before paying, everyone was polite, but after that, they left my family of 5 stranded. Despite having a hotel confirmation, we were left on the streets at midnight. When I tried to contact them, the response was shocking. They told me to wait until 9 am the next morning for a solution. We had a tough morning without finding a solution. As a result, we asked for our tickets to be changed so we could return home. Dealing with the situation was particularly difficult because my youngest daughter has autism. They agreed to change our tickets but asked us to pay for new ones. However, I have all the proof and all the records, but they just prefer to keep silent. I tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about.","""I had a terrible experience""",False,Family Leisure,Economy Class,Dubai to Tbilisi,June 2024,1 stars,1 stars,1 stars,1 stars,1 stars,no,1 stars,1 stars,A320
7,"Not Verified | You can't imagine how bad their customer service is. It was about 5-6 hours delayed, and I was travelling with my 2 little daughters (3 & 6) and they refused my compensation. They even didn't even serve the food for my small daughters. I knew how difficult my day was with this long delay and with my 2 little daughters.","""about 5-6 hours delayed""",False,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,July 2024,1 stars,1 stars,1 stars,1 stars,2 stars,no,1 stars,1 stars,
8,"Not Verified | Very bad customer service at Trivandrum airport check in, distracting with laptop bag and hand bag, the workers attitude is very bad while reaching the checkin counter and making the travel hectic. Poor service.",“Poor service”,False,Family Leisure,Economy Class,Thiruvananthapuram to Abha,June 2024,2 stars,1 stars,2 stars,1 stars,1 stars,no,1 stars,1 stars,
9,"✅ Trip Verified |  I had an incredibly disappointing experience with Air Arabia, one that I would never want to endure again. The lack of sufficient information on their website regarding their cancellation policy was frustrating. Despite their claim of ""free cancellation,"" they imposed numerous hurdles when I attempted to cancel my booking two weeks prior to the flight. This lack of transparency and the subsequent difficulties they placed in my path showcased a profound lack of respect and consideration for their customers. It's deeply disappointing when an airline fails to uphold their promises and prioritize the needs of their passengers.","""cancellation policy was frustrating""",True,Solo Leisure,Economy Class,Shiraz to Kuala lumpur via Sharjah,April 2024,,,,,1 stars,no,,,
10,"✅ Trip Verified |   Terrible service, still waiting for delay compensation 7 months later. My flight was delayed by 5 hours. No staff at Gatwick airport to provide information or refreshments. Terrible service over the phone upon returning. Take weeks/months for a response and still waiting.","""still waiting for delay compensation""",True,Solo Leisure,Economy Class,Gatwick to Tangier,August 2024,1 stars,3 stars,2 stars,1 stars,1 stars,no,,,
